Name,Location,Tagline,Category,Website,Founded,Description
EDVON,Karachi  Pakistan,EDVON is the Pakistan's first company which is developing educational robots to provide STEM based education as early as school level. ,Education,http://theedvolution.com/,4th May  2016 ,EDVON develops educational robots  provide teacher training and organized school level robotics competition to promote the STEM based education in Pakistan. It will help the students to not only think logically but also help them to explore their creativity.
EfroTech Services,Karachi  Pakistan,EfroTech is a global Software provider of Human Capital Management (HCMS) & Enterprise Resource Planning (ERP) solutions - See more at: htt,Consulting  Software House,http://www.EfroTech.com,1st July  1997 ,EfroTech is Pakistan's Leading Software House and specializes in Business Productivity solutions for the Healthcare Sector  including MRP-II software  Workflows  Handheld applications for SFA & Biometric Recognition systems. Founded in 1997  EfroTech was based on the single-focus philosophy â€“ innovation! Operating successfully amidst a throng of competitors and an array of clients who are more aware  it has been this single focus that has helped EfroTech stand out and deliver.
EjaadTech,Karachi  Pakistan,We are a team of engineers  makers  tinkerers and educators who love to acquire and learn new and innovative technologies.,Robotics  R&D  Educational Activities  Social Enterprise  Hardware Design,http://ejaadtech.com,25th August  2012 ,We are a team of engineers  makers and tinkerers who love to acquire and learn new and innovative technologies. We have expertise in electronics  manufacturing  industrial design and computer systems integration. We work with clients to come up with solutions to challenging problems and proof-of-concept implementations of new products for the consumer market  specifically in the smart home  energy and IOT domain.
EMAK Solution,Karachi  Pakistan,Pakistans leading full service IT agency offering Software Development. Web Design & Development  eCommerce & digital marketing services,Services,https://emaksolution.com,1st February  2014 ,A team consisting of vastly experienced professionals  we at EMAK solution are providing next-generation IT services all over the Globe  working from years our main goal to achieve is only innovation and customer satisfaction. Our experienced team consists of most energetic developers & consultants who are putting up 100% efforts to satisfy clients. We at EMAK Solution have worked for various local & intl. projects  our clients ranges from Asian Countries(Pakistan  India  Japan) to that in Eurpoe(Latvia. Germany  UK  Poland) and in the US. EMAK Solution has managed to build a great team of software professionals who are coming from various backgrounds and expanding the creative potential of the company. If you are looking for right innovation at the most minimal cost then you have arrived at the right place. EMAK Solution guarantees to provide with cost-effective and innovative IT services.
enovatRx,Karachi  Pakistan,Pharmacy benefit management system,CMS  SaaS,http://www.enovatrx.com/,15th January  2016 ,e-novatRx is an e-pharmacy benefit management (ePBM) system that provides all it;s customers with access to affordable quality medicines. 
EpicBuzz,Lahore  Pakistan,Making entertainment more social  engaging and fun!,Social ,https://www.epicbuzz.net,1st January  2015 ,EpicBuzz is the perfect blend of entertainment and social networking which includes movies  games and tv shows from around the globe. Entertainment content is tightly intertwined with social features.
EtsyTeleMart,Islamabad  Pakistan,EtsyTeleMart Is The Largest Store For Online Shopping In Pakistan To Provide Thousands Of Products At One Stop Like Health Products  Fitness,E-Commerce,http://etsytelemart.com/,4th February  2017 ,EtsyTeleMart Is The Largest Store For Online Shopping In Pakistan To Provide Thousands Of Products At One Stop Like Health Products  Fitness Products Beauty Products Homeware Products  Kitchenware Products Men Products  Women Products And Much More
eTutionHub,Karachi  Pakistan,eTutionHub is an online platform that provides tuition services to students around the world.,Education,http://www.etutionhub.com,14-Jul,eTutionHub is an idea inspired by the vision of online education with the essential concept of synchronous student-teacher feedback. This is a project of two young university students who have been giving online tutions to many O and A level students in places including Saudi Arabia  United Arab Emirates  Oman  Turkey and Pakistan. Encouraging feedback from students and their parents coupled with the great number of teaching requests led to this idea; to hire and train interested tutors and connect them with students worldwide.
Everee,Karachi  Pakistan,Everee is an awesome discovery application that allows you to discover interesting places whether you're chilling at home or on the go!,Computers and Technology,http://everee.io/,2015,Everee is a discovery app that helps users keep track of the best deals and offers in their city. The app will notify you every time you are in vicinity of a partner brand and send push notifications if thereâ€™s a deal on offer. It also works offline through GPS.
eWall Decals,Lahore,It provides Premium Quality Decals for your Office and Room walls. They are pre-cut and Easy-to-Install. Customization Available. ,Consulting  Lifestyle Services  Home Decor and Interior Designer,https://www.facebook.com/ewalldecals,9th April  2012 ,It provides Premium Quality Decals for your Office and Room walls. They are pre-cut and Easy-to-Install. Customization Available. 
ExcelTmp,Lahore  Pakistan,ExcelTmp.com is the premier destination for free downloadable Excel Templates.,Software,https://exceltmp.com/,15th June  2015 ,ExcelTmp.com is the premier destination for free downloadable Excel Templates. You'll find a huge selection of complimentary Excel Spreadsheets here.
Eyedeus Labs,Lahore  Pakistan,A cool startup working on innovative technologies for images and videos! ,Computer Vision,http://www.eyedeus.com,12-Oct,Eyedeus Labs is a spin-off from Computer Vision Lab (CV Lab) LUMS School of Science and Engineering  Lahore Pakistan.
Ezpz Sehat,Islamabad  Pakistan,Find a doctor and make an appointment.,Healthcare  Marketplace  Medical,https://ezpz.pk,2015,Ezpz Sehat is a consumer centered healthcare market place with a focus on improving the access and quality of healthcare services and products to consumers. Ezpz Sehat believes in the empowerment of communities and promotes doctor-patient  patient-patient  doctor-doctor  patient-pharmacist  patient-diagnostic labs  patient-hospital  patients-alternative care providers (hakims/homeopaths /hospice facilities)  in the urban  peri-urban and rural areas.
Fanofy,Karachi  Pakistan,Converting your existing WiFi into a marketing and lead generation tool.,Marketing Automation  Lead Generation,http://www.fanofy.com,16-Feb,With Fanofy we convert your WiFi into a marketing tool  when your customers connect to your FREE WIFI  you get their Social Media information such as Name  Gender  Email Address  Picture and more. They also have to Like your Facebook Page to get access to Internet allowing you to build long-lasting and valuable relationships beyond a single visit. Now you can send your customers mobile coupons  exclusive offers  email newsletters  Facebook re-targeting ads and timely promotions long after they have visited your business. When anyone connects to your WiFi they give you their information which includes Picture  Name  Email  Gender and also Like your Facebook Page. This all is done within 20 seconds and the customer then gets connected to the Internet.
Ferro Entertainment,Islamabad  Pakistan,Ferro Entertainment is an Indie game studio working on small and big scale PC and Mobile games.,Game Studio,http://ferroentertainment.xyz/,15-Oct,"Ferro Entertainment is a small indie game studio and game publisher where we are developing PC and Mobile Games for Android  iOS and Windows. FE is committed to deliver higher quality games titles and establish a brand around the titles. Apart from that FE also acquired a small indie game studio ""TnTn"" previously operating in Rawalpindi and shifted it's released mobile games to ""TnTn"". TnTn is a mobile game studio which develops small/medium scaled game and has over 2 million+ downloads across it's games combined. FE has also partnered with 3 game studios i.e Best Games Studio (Ukraine)  Avalanche Studio (UK) and Tommy Games (Czech Republic)."
FinanceTrainingCourse.com,Karachi  Pakistan,Teaching rocket science to ordinary mortals. E-learning for computational finance,Education,https://FinanceTrainingCourse.com/store,5th October  2010 ,No Description
FindMyAdventure,Karachi  Pakistan,FindMyAdventure.pk is Pakistan's first online marketplace serving as an end-to-end booking and payment platform for travel enthusiasts.,Travel,http://www.findmyadventure.pk,2016,FindMyAdventure aims to enable users to search  compare  select and book trips across the country from one simple web app/portal which collates events from reputed tour operators across Pakistan. However  the site aims to serve as more than just a booking platform and  instead  also offers users a unique MakeMyAdventure tool to design customized trips  tailored to individual usersâ€™ specific requirements.
Finja,Lahore  Pakistan,Finja  a Pakistani FinTech  has a mission to introduce innovative financial services through collaborative interoperable digital ecosystems ,Fintech,http://finja.pk/,15-Jun,FINJA  founded by veterans of the tech and banking industry  is a new Fintech in the payments space of Pakistan. FINJA aims at providing the payments industry with innovative payment methods and move towards creating multiple ecosystems that will drive the masses towards digital payments and hence help to achieve the goal of financial inclusion. FINJA is working towards bringing different tier merchants onto the payments space by providing multiple payment solutions and connecting them with existing banks and payment networks. This will in turn allow for a 360-degree digital payment solution which will allow conventional banking and branch less banking customers to not only hold their funds in bank accounts and wallets but also spend electronically at their regular merchant locations free of cash or high transaction fees  leading to a truly cashless environment.
FITGENx,Lahore  Pakistan,FITGENx is Pakistan's first affordable Health & Lifestyle solution  and Online Portal. We believe in Fitness For All.,Fitness  Health,http://www.fitgenx.club/,3rd June  2016 ,We conduct Community fitness programs and design personalized nutrition & workout plans as required by any individualâ€™s needs and their fitness goals. We are a group of Fitness enthusiasts  Nutritionists  Trainers  and Students  who have come together take on health challenges an individual Pakistani faces from day-to-day. We work through a specially designed web-based platform dedicated only to our clientele. We ensure that every individual client is provided the best possible guidance according to their body-types  physical health  age and gender.
Fixer.pk,Karachi  Pakistan,Looking for a mechanic ?Fixer at your doorstep  anytime  anyplace. ... Our top-rated mobile mechanics will come to your home  office or road,Website,http://www.fixer.pk,24th October  2016 ,Fixer.pk is an online vehicle fixer delivery service. You can call us anytime  or place an online order by filling the form at our website and our mechanics will visit you at your place  at your desired time to fix your vehicle. You won't have to worry about vehicle related issues anymore  we're here to facilitate.
Flashcall PVT LTD,Karachi  Pakistan,A missed call based mobile marketing company that connects consumers and brands through free of cost missed calls.,Mobile Marketing,www.getflashcall.com,Not Provided. ,A missed call based mobile marketing company that connects consumers and brands through free of cost missed calls.
Folio3,United States,Folio3 is focused on helping #entrepreneurs and small #enterprises successfully build and manage an #offshore #software #development presenc,Consulting  Application Development  Business Management System  Managed IT Services,http://www.folio3.com,2005,Folio3 is an offshore software services company that provides entrepreneurs and small enterprises with dedicated offshore software application development and maintenance teams.
Food For Thought,Karachi  Pakistan,Food for Thought is an initiative that facilitates the redistribution of leftover food at restaurants/eateries  educational institutions.,Non-Profit,No Website,Not Provided. ,Food for Thought is an initiative that facilitates the redistribution of leftover food at restaurants/eateries  educational institutions and offices  to those who need it most. Moreover  the initiative also aims to act as an awareness campaign on food wastage and the prevalent hunger problem that persists due to the ineffective distribution of resources.
FoodFox,Karachi  Pakistan,FoodFox utilizes Apple iBeacon technology to enhance the usability and customer interaction in a restaurant. ,Software,No Website,Not Provided. ,FoodFox utilizes Apple iBeacon technology to enhance the usability and customer interaction in a restaurant. FoodFox enables restaurant patrons with smartphones to view the menu  order a meal and pay for it without any human interaction. Step into a FoodFox enhanced outlet with your smartphone and you will be greeted with the restaurant themed welcome message and its menu and deals. Order a meal and pay for it with your own smartphone. Install the FoodFox app on iOS or Android and visit any enabled restaurant to enjoy additional features and skip waiting in-line for your order or pick-up.
Fori Mazdoori,Islamabad  Pakistan,@forimazdoori helps connect the non-tech-savvy blue-collared workers with potential employers by making them searchable through apps web&SMS,service  software,http://skillbazaar.co,10th January  2014 ,In an era of urbanization of everything weather looking for places to stay  deciding upon a movie to watch or while finding a ride â€“ We have a solution in AirBnB  IMDB or Uber. However  in worldâ€™s most populated region (South-Asia)  finding a quality labour still remains a daunting task. Fori-Mazdoori solves the pain of finding a quality-labour by bringing the blue-collared-workers onto the Internet. Fori Mazdoori together with the vast telecom-retailer-network is setting up registration points where workers can walk-in and request registration into FM-database. Once registered potential-employers are able to search peer-rated workers based on a skill-set near them.
Forrun.co,Karachi  Pakistan,Forrun - Instant Delivery,Courier Services,http://www.forrun.co,14-Nov,Forrun - An instant delivery services in Pakistan  offering competitive rates on all type of goods delivery.
FRAG Games,Lahore  Pakistan,A mobile gaming studio working on 3D social games that are going push the limits of fun and interaction!,Consulting  Game Studio,http://www.frag-games.com,13-Mar,FRAG Games is a games development studio based in Lahore  aiming to create amazing 3D games for mobile phones and tablets. Housed at Arfa Karim Software Technology Park  the FRAG Games team boasts 50+ years of combined development experience  and recently started a services wing as well  so as to keep the light on for long.
Gaari.com,Quetta  Pakistan,Gaari.com Ú©Ø§Ù….Ú¯Ø§Ú‘ÛŒ is the most finest automobile community and classified ads website.,Automotive,http://Gaari.com,21st August  2009 ,We provide a platform where car buyers and owners can research  buy  sell and come together to discuss and talk about their cars. Our advance cloud technology and memcached based software architecture make us stronger then our competators. We understand that a car is by and large the second-most expensive asset a consumer associates his lifestyle with. Our mission is to bring joy and delight into car buying and ownership. To achieve this goal  we aim to empower Pakistani consumers to make informed car buying  car prices and ownership decisions with exhaustive and un-biased information on cars through our expert and owner reviews  detailed specifications and comparisons.
Gaditek ,Karachi  Pakistan,"Gaditek is one of the finest ""Technology Houses"" in Pakistan. It started its operations in 2008 and is fully self funded. ",Cloud  Gaming  Security  Lifestyle  Retail  E Commerce,http://www.gaditek.com,24th November  2008 ,We increase the market value of our people by serving opportunities that justify their choosing to invest us their time and energy. We sell relevance in the age of irrelevance
Garipk,Islamabad  Pakistan,Pakistan's # 1 Vehicle Portal! Committed to help you buy and sell cars online. Join us to get latest News and updates about cars.,Automotive,http://www.gari.pk/,1st January  2017 ,Gari.pk is Pakistanâ€™s #1 vehicle portal. Buy/Sell cars  Reviews  Latest Automotive News and Discussions. Join us for everything about Automobiles.
Genius Circle,Islamabad  Pakistan,We Develop Games / Apps for iPhone Android Windows Amazon and other platform  Also provide IT Solutions to Foreign and Local Clients,Services,http://www.geniuscircle.co,1st October  2014 ,We Develop Games / Apps for iPhone Android Windows Amazon and other platform  Also provide IT Solutions to Foreign and Local Clients
Ges-Drive,Karachi  Pakistan,Ges-Drive make video games mainly for disabled (physically-impaired) but normal people can play as well. ,Education  Gaming,http://www.gesdrive.io,2014,Ges-Drive make video games mainly for disabled (physically-impaired) but normal people can play as well. 
Get Keyword Ranked,Karachi  Pakistan,Get Keyword Ranked is the Pakistan SEO company that provides a high quality SEO services that meet our clients requirement,Advertising  Services,http://getkeywordranked.com/,5th February  2016 ,Get Keyword Ranked is the Pakistan SEO company that provides a high quality SEO services that meet our clients requirement and success to get high ranking in search engine. We have an experience and intellectual SEO experts  SEO writers and analyst that take the SEO campaign effectively to the top of search engine results. Our each department work together to get the better and quality work that help the clients in their businesses.
GetNow Inc.,Lahore  Pakistan,GetNow.pk offers Online Shopping in Pakistan with Free Home Delivery to Customers across country.,E-Commerce,http://www.getnow.pk/,25th October  2013 ,GetNow.pk offers Online Shopping in Pakistan with Free Home Delivery to Customers across country.
GharPar ,Lahore  Pakistan ,A mobile application that smart matches independent skilled beauticians to customers demanding professional at home beauty services.,Cosmetics,http://gharpar.co,1st May  2016 ,Upskills beauticians and connects them with clients demanding professional at home beauty services
Go Rickshaw,Go Logistics  Ground Floor  Palace Cinema Building  Civil Lines  Karachi,GO Rickshaw redefines the entire idea of on-demand personal transportation and its landscape in Pakistan. ,Transportation,https://gorickshaw.pk/,30th October  2015 ,No Description
Goodshop.pk,Lahore  Pakistan,Goodshop.pk offers Online Shopping in Pakistan with cash on delivery payment options at highest quality items and products. ,E-Commerce,https://www.goodshop.pk,1st September  2015 ,Goodshop.pk offers Online Shopping in Pakistan with cash on delivery payment options at highest quality items and products. Goodshop.pk specially targets the needs of all genders and ages like men  women and children across gadgets  mobile accessories  footwear  toys  apparel  jewelry and accessories. 
Goodshop.pk,Lahore  Pakistan,Goodshop.pk offers Online Shopping in Pakistan with cash on delivery payment options at highest quality items and products. ,E-Commerce,http://www.goodshop.pk,14th August  2016 ,Goodshop.pk offers Online Shopping in Pakistan with cash on delivery payment options at highest quality items and products. Goodshop.pk specially targets the needs of all genders and ages like men  women and children across gadgets  mobile accessories  footwear  toys  apparel  jewelry and accessories. 
GRIT 3D,Karachi  Pakistan,Grit 3D is a leading 3D printing platform which is improving clinical and academic practices,3D Printing  Prosthetics  Medical Devices  3D Modelling,http://www.grit3d.com,1st January  2016 ,Grit 3D is a leading additive manufacturing company that uses emerging 3D printing technology for rapid product development to improve the medical and academics practices. â€¢ The company makes functional 3D printed prosthetics for disable People â€¢ Provide 3D models to Surgeons for Pre-Surgical planning â€¢ Promote the effective use of 3D printing technology-adding value to human life â€¢ Providing 3D printing services for research and development purposes
H&O Services,Lahore,We're a blue collar worker's placement and management company. We use all sort of technological means to approach lesser educated workers.,Recruiting  Consulting,http://www.hnoservices.pk,21st June  2014 ,Home and Office Services is a web and mobile based company committed to bring better employment opportunities to the informal job sector and improve the lives of millions. The company aims not only to help the blue collar workers but at the same time assist the upper middle class households and offices in regards with all sorts of helpers by bridging the gaps and connecting the right employer with the appropriate job seeker via multiple networks. 
Mreeco,Lahore  Pakistan,Making Student Projects & Providing electronics components at your door step,E-Commerce  Hardware  Software,http://www.mreeco.com/,1st January  2015 ,Making Student Projects & Providing electronics components at your door step
Happening PK,Karachi  Pakistan,"Primarily a ""happening-discovery-portal""  we're putting together a new experience of discovering things that are worth while to you.",Events  Ticketing,http://happening.pk,14-Feb,No Description
Haptika,Karachi  Pakistan,Taking the hold of Virtual Reality!,Virtual Reality  Technology,http://thehaptika.com/,2016,Haptika is developing wearable gadgets through which a person can feel the objects in a VR environment and perceive their temperature.
HAT incorporation,Block I North Nazimabad Karachi  Pakistan,Hat inco is a software house and a computer institute.,Software House  Services,http://www.hatinco.com,1st January  2000 ,Software House Computer Institute Web development Android Development Desktop Development Website Designing
Hayaat.pk,Johar Town  Lahore,Hayaat.pk brings you convenience - Find & book best doctor in the town  blood donor  emergency care & health consultant for free with us.,Health Care,http://www.hayaat.pk/,14th August  2017 ,Hayaat.pk brings you a quick  convenient  safe and legal way to find a doctor & set up an appointment  find blood donor and find the nearest emergency center. Hayaat.pk is a primary digital healthcare solution  where one can instantly setup an appointment with the best doctor in town because we understand how important it is to approach a doctor  on time. And we donâ€™t want you to miss out your medication simply for the reason not getting an appointment. At times  there are health epidemics due to environmental changes like dengue  viral hemorrhagic fever  and measles. Such patients canâ€™t afford to face unattended emergency rooms. Thatâ€™s why more people prefer online appointment-booking platforms to get their loved ones treated on time. Under the consideration of Hayaat.pk  one can overcome these issues and get an appointment when needed. Where people face numerous health care issues  Hayaat.pk is the right-hand where youâ€™ll find a health-giving touch. Our inside world has everything related to your health care - evaluating health problems  instant appointment with verified doctors  access to blood donors & blood seekers  booking diagnostic tests  patient recommendations  storing medical records  directing towards emergency center  health care blogs  or learning new ways to live better.
Health Wire,Lahore  Pakistan,Healthwire is on a mission to improve access to healthcare in Pakistan. We are empowering patients by helping them book instant appointments,Healthcare,https://healthwire.pk/,2015,No Description
Healthginie ,Lahore  Pakistan,Healthginie - Pakistan's trusted healthcare application which helps in finding the right doctor for the right disease. Let's get you an appo,Healthcare,https://www.healthginie.com/,12th April  2017 ,helps in finding the right doctor for the right disease. Let's get you an appointment 
HeBazar Online Store,Lahore Pakistan,Selling Online with Free Home Delivery Across Pakistan,E-Commerce,http://www.hebazar.com,20th June  2016 ,Selling Online with Free Home Delivery Across Pakistan
HerCareer.pk,Karachi  Pakistan,Pakistan's first and largest career community of women  mentors and companies. ,Community,http://www.hercareer.pk,2013,HerCareer connects women with mentors and onsite as well as work from home opportunities.
Hify.pk,Lahore Pakistan,General Products Online Store,E-Commerce,http://www.hify.pk,19th September  2015 ,Pakistan 1st and only women product website  where quality matches the price. We promise to deliver the best quality products at your door step.
HireNinja,Islamabad  Pakistan,HireNinja is the premium network where pre-screened developer ninjas meet their future employers. ,Recruiting ,http://ninja.hireninja.com,1st September  2016 ,No Description
Hireonics,Karachi  Pakistan,Connecting the top talent with their dream job.,Software,https://www.hireonic.com/,Not Provided. ,No Description
Hitshop.pk,Karachi  Pakistan,Hitshop.pk is Online Shopping site in Pakistan. We bring large collection of toys  games  kitchen appliance  men & women's fashion and more ,E-Commerce,https://www.hitshop.pk/,4th January  2012 ,Hitshop- The Largest Online Store in Pakistan Shopping is an exciting exercise and itâ€™s a good way to spend quality time with family and friends. However  sometimes one gets too busy to go push those shopping carts at the malls and the only alternative you have is to turn to your convenient friend-Internet. Thanks to technology advancements  online shopping has gained popularity and has become one of the most preferred waysto shop all over the world. Customers can buy just about anything at the comfort of their home with just a simple click on their phone or laptop. Shop More for Less at Hitshop.pk Welcome to Pakistanâ€™s leadingonline store  Hitshop.pk and enjoy the best pocket friendly deals on our high quality products. We make it easy for you to discover high end products from top-class manufacturers. Our suppliers are renowned  top-tier brands such as Anex  Black&Decker  Kenwood  Panasonic  Sinbo   Westpoint   Remington   Lego  Russell Hobbs  Intex and Braun just to mention a few. We offer everything from kitchen appliances  men and women fashion  electronics  watches  fitness equipment  automobile accessories  cosmetics to kidsâ€™ toys.
HomeBazar.pk,Lahore  Pakistan,Homebazar.pk best online shopping store in Pakistan offering online shopping services in Pakistan with best quality imported products. ,Shopping,https://www.homebazar.pk/,6th May  2016 ,HomeBazar.pk provides online shopping services in Pakistan with best delivery service all across Pakistan. Find makeup & beauty and personal care products with high quality home & kitchen appliances along with elegant furniture for your sweet home.
Home Shopping Pakistan,Karachi  Pakistan,Home Shopping started operations in 2008 and were considered as one of the pioneers of the ecommerce industry of Pakistan.,E-Commerce,https://homeshopping.pk,8-Jul,One of the leading players of the eCommerce industry in Pakistan started back in 2008 and bootstrapped the business with zero external investment. Our Vision is to transform Pakistan by enabling and empowering the SME's to sell products locally and international market. 
Homestove,Lahore  Pakistan,Homestove is an online platform which aims to connect Home-based food sellers with food buyers in their vicinity.,Online Platform,http://homestove.pk,1st September  2016 ,Homestove is an online platform which aims to connect Home-based food sellers with food buyers in their vicinity.
ilaan.com,Lahore  Pakistan,ilaan.com Property Portal - providing best-in-class real estate services in Pakistan to property buyers & sellers to buy  sell or rent house,Real Estate,http://www.ilaan.com/,14th August  2017 ,ilaan.com - simple and easy solution for listing and showing properties on internet to country audience via our intelligent products to the people! who is looking to buy  sell or rent out property. We come up with the core concept of â€œwe find you home!â€ as we understand buying a home is once in a lifetime decision and no one wants to invest on something which doesnâ€™t worth it. So  how to decide which area suits you and where exactly to invest your money? That is where we believe ilaan.com will help you in finding your best home not only house.
ILMASOFT,Dubai  UAE - 1015 Arfa Software Technology Park Lahore Pakistan,Educational and security products for schools and institutes. Mobile apps and iOT devices R&D ,Software ,http://www.ilmasoft.com,13th August  2010 ,We build applications for the vertical sectors. We are more focused on iOT based applications for security of people.
Improve My Karachi,Karachi  Pakistan,Improve My Karachi enables Karachiites and the local government to take action and improve the city. Itâ€™s a combination of a mobile and web ,Software,https://play.google.com/store/apps/details?id=com.karachi.imcity.imcitykarachiapp,16th January  23 ,No Description
Inferential-S,Karachi  Pakistan,Providing logical Solution to Real life problems,Finance  Media  hardware,http://inferentials.net,Not Provided. ,Inferential-S is a cybersecurity startup helping provide an extra layer of authentication to important information. Its proprietary software does away with redundant things like passwords  and instead relies on behavioral analysis to determine whether itâ€™s the correct user requesting access.
Innovarge,Karachi  Pakistan,A technology solution provider. Works in Software development  web development  outsourcing  and social media.,Services,http://www.innovarge.com,2011,Innovarge is built on the philosophy of partnerships. This has led Innovarge to expand in several dimensions. The collective strength supported by specialists worldwide guarantees that the best solution is provided to our customers.
Innovators' Desk,Karachi  Pakistan,We are a Technology Company that specializes in Design  Development and Marketing of Mobile  Tablet and Web Applications.,Consulting  Software  Mobile App  Web Design and Development,http://innovatorsdesk.com/,9th October  2015 ,As a tech firm  we are driven by innovative ideas  ambitious goals and cool clients with exciting projects to work on. Our team of 20+ People includes experts in UI/UX design  Mobile App Development  Web development  Cloud Computing and Marketing Strategy.
Inov8 Limited,Lahore  Punjab,Enabling the mobile payment ecosystem,Mobile Payments,http://www.inov8.com.pk,24th August  2004 ,Inov8 is a leading provider in the region for mobile and digital payment technology and consulting services.
InstaCare,Lahore  Pakistan,Get Medication & Medicine anytime anywhere.,Healthcare  SaaS,https://insta-care.net,1st January  2017 ,No Description
Instrucfor.com,Karachi  Pakistan,Revolutionizing home tuition.,Education,http://instrucfor.com,11th October  2016 ,Instrucfor helps students and parents to compare several tutors on the basis of their expertise and experience and hire the most ideal tutor
Interacta,Lahore  Punjab,InteraCtaâ€™s vision is to revolutionize how people engage with their environment.,Real Estate  Apps  Information Technology,http://interacta.co,1st June  2014 ,InteraCta is a technology that is specifically targeting at making T.V interactive. We are all geared to launch to our first product in 2015. We offer a complementary app and that would be free to download from the app store. It would be very simple and user-friendly  where a single click would allow the app to synchronize with the Television Show; that would initiate a real-time interactive portal on the userâ€™s smartphone. The user would then be able to interact (push and/or pull) with the broadcast.
Investify Stocks Pakistan,Karachi  Pakistan,Stocks and Portfolio Tracking Apps for the Pakistan Stock Exchange,Financial Information Services,http://investify.pk,15-Oct,Provides stocks and portfolio tracking apps on Android and iOS for the Pakistan Stock Exchange (PSX)
Investors Lounge,Karachi  Pakistan,Helps you make intelligent investment decisions.,Financial Information Services ,https://www.investorslounge.com/,2015,Investors Lounge empowers people with the education and analytics required to make intelligent investment decisions. 
IOTechnica,Karachi  Pakistan,One stop solution for all your tech products ,Technology,No Website,Not Provided. ,IOtechnica is designing products based on IoT (Internet of Things) that will provide quick access to all the tech around you!
Iris Red,Islamabad  Pakistan,Iris Red is a company behind Iris.pk  an online marketplace for booking professional photographers.,Website,http://www.irisred.com,2016,Iris Red is a company behind Iris.pk  an online marketplace for booking professional photographers. Our platform allows photographers to update their profile with sample work  location  and availability. Anyone in need of quality photography services can select the best rated photographers that match the criteria.
Islamabad Scene,Islamabad,To inform and inspire the people about capital city of Pakistan,Information & news guide,http://islamabadscene.com/,1st January  2015 ,It is an essential news & info guide on Islamabad from places to visit and eat  things to do and see  events to attend and much more!
ITWaly,Islamabad  Pakistan,ITWaly combines a passion for client satisfaction  vast games  apps and web development expertise and a great collaborative workforce that e,Consulting  Web and mobile apps,http://www.itwaly.com,1st February  2016 ,ITWaly combines a passion for client satisfaction  vast games  apps and web development expertise and a great collaborative workforce that embodies the future of work.
J-Axis,Karachi  Pakistan,J-axis is a start up production house. We design interactive and concept learning games for kids.,Software,http://j-axis.co,10th January  2017 ,J-axis is a start up production house. We design interactive  concept learning and intellectual games for kids. Our idea is to educate kids and boost their creativity in a very innovative way  which is through games and amazing graphical videos. Ours educational games are based on some of the important topics like Gravity  Newton's first law  projectile motion etc. Our games are basically a visual representation of these topics. We also produce 2d animated conceptual videos and short films.
Jabs Solutions ,Islamabad  Pakistan,SMALL TEAMS.BUILD BIG APPLICATIONS!,Consulting  software house,http://www.jabssolutions.com,2009,Jabs solutions is a business solution provider that has web-based solutions at the heart of its services and focuses on long-term strategic relationships with its clients. We offer our clients with a full spectrum of professional web development solutions aiming at powerful and effective presentations for the World Wide Web.
Jambo.pk,Karachi  Pakistan,Jambo.pk is an online shopping portal which provides free delivery all over Pakistan. ,E-commerce,http://www.jambo.pk,1st December  2015 ,Jambo.pk is Pakistan fastest growing e-commerce shopping portal which provides variety of categories to choose from. Jambo.pk provides free shipping and payment on delivery all over Pakistan with same day delivery.
Jobistaan,Karachi  Pakistan,Jobistaan  a name that goes for a nation of job opportunities for talented job seekers.,Website,http://www.jobistaan.pk/,10th June  2016 ,Jobistaan (a subsidiary of Oarce)  a name that represents professional success of those who strive upon struggle. At Jobistaan  we say â€œWith one good opportunity  you nourish a great talentâ€. However  in a time of greater competencies  Jobistaan provides an easy yet effective way of standing out in the crowd with your talent and abilities. Jobistaan also provides a trust that everyone can recognize through our dedicated state of the art structure that is available throughout to serve and administer. Jobistaan being a specially designed Job Portal for the talented job seekers in Pakistan wishes to accompany a formal routine of not just to seek jobs  but to grow with us as lively member. The makers of Jobistaan are proud to present the research of changing the Job Portal experience by focusing on quality HR circulation among most of the big corporate sectors and famous clients. Hence the amplified process gives Jobistaan users the best results. Opportunities and Talent are two pillars of this firm  and the core targets and Jobistaan has opportunities and talents for everyone out there. Because at Jobistaan  we develop Talent with Opportunities.
Jobz.pk,Islamabad,Latest Jobs in Pakistan where one can find new upcoming career opportunities from all top companies in Pakistan .,Job Portal,http://jobz.pk,2000,We not only cover Pakistani jobs but also UAE  UK  Qatar  Middle East  Saudi Arabia  Malaysia  Canada  USA  Dubai and many other international vacancies from various other countries. Visit daily to apply for latest jobs in Pakistan in time to get rozee from your dream job. 
Jouple FZ LLC,Dubai,Delivering real-world digital solutions in Mobile/ Web/ Software/ Marketing,Software,http://www.jouple.com,15th February  2015 ,Delivering real-world digital solutions in Mobile/ Web/ Software/ Marketing
